project,Submission Table Number,link,Desired Prizes
sicc-song-analytics,1,https://brickhackv.devpost.com/submissions/112511-sicc-song-analytics,(no prizes submitted)
bunji.io,2,https://brickhackv.devpost.com/submissions/112708-bunji-io,"Best Design, Best Use of Google Cloud Platform,  Most Commercially Viable Product, Datto: Most socially impactful project, Best Community Impact, Best Newbie Hack"
Brick Hacker 2k19,3,https://brickhackv.devpost.com/submissions/112408-brick-hacker-2k19,(no prizes submitted)
Mood Swing,4,https://brickhackv.devpost.com/submissions/112750-mood-swing,"Best Community Impact, Hack Our Health"
Highlight,5,https://brickhackv.devpost.com/submissions/112256-highlight,"Best Use of 5G Currencies in Immersive Media,  Most Commercially Viable Product, Best Use of Google Cloud Platform, Best Domain Name from Domain.com"
TigerAssist,6,https://brickhackv.devpost.com/submissions/112669-tigerassist,"Best VR/AR Hack, Best Constellation Brands Consumer Experience,  Most Commercially Viable Product, Best ""Brick"" Hack, Best Community Impact, Datto: Most socially impactful project"
Wikipedia Game,7,https://brickhackv.devpost.com/submissions/112442-wikipedia-game,Best Game
Trashcan Finder,8,https://brickhackv.devpost.com/submissions/112558-trashcan-finder,"Best Use of Google Cloud Platform, Best Newbie Hack, Best ""Brick"" Hack, Snap Kit Prize, Best Community Impact, Datto: Most socially impactful project"
College Ride Share,9,https://brickhackv.devpost.com/submissions/112274-college-ride-share,"Best iOS App, Best Use of Google Cloud Platform, Best Design, Best Newbie Hack, Best ""Brick"" Hack, Best Community Impact, Datto: Most socially impactful project"
Shopping Kart,10,https://brickhackv.devpost.com/submissions/112688-shopping-kart,Best API Mash-Up Using Wegmans Data
PiView,11,https://brickhackv.devpost.com/submissions/112646-piview,"Best Use of 5G Currencies in Immersive Media, Best Use of Google Cloud Platform, Best Design, Hack Our Health, Best Community Impact, Datto: Most socially impactful project"
Duet,12,https://brickhackv.devpost.com/submissions/112560-duet,"Best iOS App, Best Multimedia Hack,  Most Commercially Viable Product, Best Design, Best Newbie Hack, Best ""Brick"" Hack, Hack Our Health, Best Domain Name from Domain.com, Best Community Impact, Datto: Most socially impactful project"
Apollo,13,https://brickhackv.devpost.com/submissions/112461-apollo,"Best Use of 5G Currencies in Immersive Media, Best Multimedia Hack, Best Constellation Brands Consumer Experience,  Most Commercially Viable Product, Best Use of Google Cloud Platform, Best Design, Best ""Brick"" Hack, Best Domain Name from Domain.com, Best Community Impact, Datto: Most socially impactful project"
dermVIEW,14,https://brickhackv.devpost.com/submissions/112573-dermview,"Best Design, Best Newbie Hack, Hack Our Health, Best Community Impact, Datto: Most socially impactful project"
CFantasy,15,https://brickhackv.devpost.com/submissions/112470-cfantasy,"Most Creative Use of Vuzix Blade AR Smart Glasses, Best iOS App, Best Multimedia Hack, Best VR/AR Hack, Best Constellation Brands Consumer Experience,  Most Commercially Viable Product, Best Design, Best Newbie Hack, Best ""Brick"" Hack"
Confused?,16,https://brickhackv.devpost.com/submissions/112679-confused,"Best Constellation Brands Consumer Experience, Best API Mash-Up Using Wegmans Data,  Most Commercially Viable Product, Best Use of Google Cloud Platform, Best Newbie Hack, Best Community Impact, Datto: Most socially impactful project"
